equity,symbol
14814.069106765975,MSFT
14526.20104034775,MSFT
14535.384097106447,AAPL
15079.849373170702,MSFT
15387.259380386353,MSFT
15535.893611413152,AAPL
15388.08124004727,MSFT
15569.033573189015,MSFT
15685.474214854812,MSFT
15695.047445996373,MSFT
15647.015585656345,AAPL
15148.378563341092,MSFT
15221.29976453158,MSFT
15238.953181453991,AAPL
15459.672119448784,MSFT
15403.838094540472,AAPL
15442.215781570087,AAPL
15599.703576726783,AAPL
15492.693131866445,AAPL
15484.73744794278,AAPL
15381.37306309885,AAPL
15620.172624939722,AAPL
15577.822749564231,AAPL
15444.588375591353,AAPL
15661.723414863907,AAPL
15705.977465883449,MSFT
15718.488298187436,AAPL
16065.905865194716,AAPL
15924.772222223142,AAPL
15815.348201804482,AAPL
15839.208391886064,AAPL
15730.054607552254,AAPL
15543.562826504714,AAPL
15557.998096165113,MSFT
15682.233842495281,AAPL
15730.18358253144,AAPL
15726.838680572817,AAPL
15983.273743063968,AAPL
15945.868488727823,AAPL
16042.68631507264,AAPL
15864.655106698696,AAPL
15707.005188987692,MSFT
15757.57964498655,AAPL
16009.846822611184,MSFT
16066.602749411295,AAPL
15944.798412030683,AAPL
16297.676023513468,MSFT
16163.375258690718,MSFT
16167.418940217854,MSFT
15726.32400758857,MSFT
15670.263903738778,MSFT
14902.106358448009,AAPL
14630.087904827325,AAPL
14693.168007224653,AAPL
14546.905818703075,AAPL
14514.401285975839,AAPL
14413.592052745073,MSFT
14535.22634477508,MSFT
14422.902820715537,MSFT
14373.4567941778,MSFT
14201.173638864186,MSFT
14169.045503036477,MSFT
14396.637706096091,MSFT
14408.18353478971,MSFT
14596.630169417986,MSFT
14268.231237427008,MSFT
14434.359089284593,AAPL
14547.610887689189,AAPL
14850.350980357152,AAPL
14852.685144077406,MSFT
14791.304664236786,MSFT
14817.130242689727,MSFT
15022.767369571558,MSFT
14977.570147745677,MSFT
14828.957906725971,MSFT
15010.107914719956,MSFT
15094.502245453788,AAPL
14821.88634482843,AAPL
14631.354423922921,AAPL
14745.223895597883,AAPL
14361.30370756326,MSFT
14296.493342844398,MSFT
14264.384737386175,MSFT
13908.106520874107,MSFT
13840.432938734304,MSFT
13717.43938887288,MSFT
13726.65541934721,MSFT
13479.497685328633,MSFT
13346.085834942982,AAPL
13353.100225633585,AAPL
13380.426212976752,AAPL
13565.549617325865,AAPL
13446.583337550079,AAPL
13531.414431578074,AAPL
13615.280784739007,AAPL
13802.49617171626,AAPL
13896.66233934962,MSFT
13822.513075162406,MSFT
13978.319719190296,MSFT
13911.35912437853,MSFT
13753.361423439983,MSFT
13945.658568690613,MSFT
13907.394681164658,MSFT
13811.816214798753,MSFT
13848.633885459061,MSFT
13640.422406512429,MSFT
13737.435020482622,MSFT
13774.172618336099,MSFT
13574.562246504935,AAPL
13226.978474861207,AAPL
13291.202763267538,MSFT
13441.463352266004,AAPL
13459.899877240228,MSFT
13763.321633567572,MSFT
13839.04067072424,MSFT
14003.196911732464,MSFT
14137.243220310791,MSFT
14281.71421338981,MSFT
14373.199943867934,MSFT
14259.496839234158,MSFT
14600.251498674854,MSFT
14467.55940584904,MSFT
14659.77323035011,AAPL
14651.068026263056,MSFT
14894.029145429937,MSFT
14877.565480302099,AAPL
15000.726061281317,AAPL
14922.259854160273,AAPL
14959.7799420833,AAPL
14840.037575063745,AAPL
14811.136475070833,AAPL
14843.928352420931,AAPL
14748.785626950501,AAPL
14779.20771109418,AAPL
14864.799754393924,AAPL
14709.243252271475,AAPL
15004.35851537105,AAPL
14904.025356633865,AAPL
15040.2365513466,AAPL
15136.68249099619,AAPL
14925.86581174412,AAPL
15029.156316210974,AAPL
15264.984573103522,AAPL
14905.576256003944,MSFT
15086.191388070085,MSFT
15149.238300923815,MSFT
15158.886174022755,MSFT
14981.316451207398,AAPL
14954.801499868714,AAPL
14856.88361041924,AAPL
14845.201065120795,MSFT
14806.977115365307,MSFT
14840.066348060252,MSFT
14855.281150450897,MSFT
14636.184776740154,MSFT
14610.894879008973,MSFT
14491.412805798045,MSFT
14469.438749424904,MSFT
14728.029461776658,MSFT
14756.540282617008,MSFT
15015.874054322763,MSFT
15073.82735562025,MSFT
15209.244168367955,MSFT
15264.50802130044,MSFT
15217.952506091868,MSFT
15374.65537781618,MSFT
15546.649544137266,MSFT
15446.871010703439,MSFT
15524.53155676881,MSFT
15651.448208115933,MSFT
15725.608989361794,MSFT
15673.370808467233,MSFT
15882.364009523584,MSFT
15822.679430582219,MSFT
15380.493172013359,MSFT
15604.960220061927,MSFT
15876.891066242808,MSFT
15645.961219909235,MSFT
15624.143872822846,MSFT
15938.347832592422,MSFT
15924.720069308134,MSFT
15973.988055809188,AAPL
15757.084724815304,MSFT
15563.672494257382,AAPL
15698.536216921488,MSFT
15570.510508740585,MSFT
15459.194282842021,MSFT
15395.147485367452,MSFT
15356.435297819165,MSFT
15702.673434854789,MSFT
15636.998347091136,MSFT
15514.66137960389,MSFT
15496.863491954537,MSFT
15490.493926523246,MSFT
15699.92040154626,MSFT
15754.819918568295,MSFT
15339.186445060852,AAPL
14870.238865330446,MSFT
14834.684953315493,MSFT
15079.951958214502,MSFT
14957.248985331642,MSFT
14879.697621356698,MSFT
14906.161392762093,AAPL
14710.553628834487,AAPL
15054.481785098707,MSFT
14727.87399193841,MSFT
14744.976416478934,MSFT
14874.741049310769,MSFT
14994.701932480242,MSFT
14367.062919385422,AAPL
14331.615739309627,MSFT
14120.730988996627,MSFT
14066.204293305262,MSFT
14044.79910511194,MSFT
14007.09235137517,MSFT
13874.643238894196,AAPL
13758.481409958702,MSFT
13712.402886298909,MSFT
13631.603256486575,AAPL
13867.196138998268,MSFT
13823.020407578955,MSFT
13909.309454073038,AAPL
13796.861906045122,MSFT
13935.289102916906,MSFT
13724.989686147173,MSFT
13442.556047811273,MSFT
13171.455969901039,AAPL
13071.231993165327,MSFT
12983.467391379996,AAPL
12811.922241260118,AAPL
12864.334888456155,AAPL
12933.694295393167,AAPL
13085.048257989878,AAPL
13139.314980334542,AAPL
13080.545426230356,AAPL
13391.967497044861,AAPL
13133.892445775258,AAPL
13041.336650589737,AAPL
13315.621511032083,AAPL
13597.509938287118,MSFT
13460.084745076922,AAPL
13497.733876497128,AAPL
